fips,poverty_count,median_income
01001,6275,69841
01003,24819,75019
01005,4746,44290
01007,4258,51215
01009,8269,61096
01011,2344,36723
01013,3881,44881
01015,19558,55826
01017,5214,49295
01019,3606,50769
01021,6111,61873
01023,2413,44483
01025,4607,49167
01027,2295,51852
01029,1984,53319
01031,9409,64672
01033,9626,56736
01035,3125,42266
01037,1161,57063
01039,6681,50886
01041,2081,49040
01043,12299,60916
01045,9078,53955
01047,10748,36810
01049,14405,51149
01051,8652,75553
01053,7238,44447
01055,17401,53070
01057,2967,50733
01059,5476,51493
01061,5035,50951
01063,2697,31495
01065,3454,41325
01067,2695,60135
01069,19198,57531
01071,8758,49454
01073,106524,64589
01075,2061,47447
01077,12584,59082
01079,4506,60040
01081,32119,61123
01083,10561,83534
01085,2913,35160
01087,3611,45951
01089,40401,83528
01091,4241,44205
01093,4809,50714
01095,15841,60946
01097,65948,58119
01099,4371,40225
01101,41981,58153
01103,16441,64858
01105,2296,34368
01107,3878,47014
01109,7130,47961
01111,3983,51551
01113,12966,50046
01115,10129,78993
01117,15442,93543
01119,2801,37981
01121,13665,56249
01123,6128,57185
01125,36620,63947
01127,11429,54509
01129,2793,60503
01131,2943,42236
01133,4506,48032
02013,423,72692
02016,459,107344
02020,26226,98152
02050,4351,70616
02060,83,100625
02063,326,88565
02066,295,75053
02068,131,88935
02070,774,74250
02090,5669,84722
02100,126,72607
02105,291,62500
02110,2565,100513
02122,6790,77722
02130,1300,89155
02150,966,83716
02158,2555,48233
02164,152,64000
02170,11111,90625
02180,2026,76643
02185,897,86313
02188,1384,81298
02195,188,77026
02198,858,59079
02220,688,101207
02230,81,78594
02240,911,74223
02275,227,64545
02282,39,80625
02290,1086,52642
04001,20070,40338
04003,18544,58970
04005,23485,69748
04007,9297,59089
04009,6319,67326
04011,1016,75239
04012,3001,49506
04013,497877,85518
04015,35787,55799
04017,25979,52752
04019,146560,67929
04021,46664,77588
04023,9707,53614
04025,29898,66106
04027,32921,60417
05001,2425,60831
